"Text","doc_id"
"moreover hope openminded bold make decision","104"
"addition like good lifelong relationship peer private professional environment","105"
"want always putting patient first us progress dental school eventually professional career","106"
"believe healthcare professional duty provide patient effective treatment know right person patient hesitate relay patient right person","107"
"dental school want always put forth honest effort work take shortcut want make sure really understand teach future patient deserve kind honest effort dentist","108"
"also want contribute honest learn environment reach peer may see struggle","109"
"hope work just hard smart produce result necessary multiple option ready graduate","110"
"currently really interest field pediatrics want put position learn much can field make sure make decision inform one","111"
"passion pediatrics grow partake inreach outreach event nyucd want also explore specialty can become wholesome dental knowledge ideal","112"
"really happy year citizen school fully integrate one main outreach club nyucd","113"
"also first dental screening gtp many schedule come","114"
"also track pursue passion pediatrics","115"
"aside point mention public self reflection portion want become open mind good take criticism will important deal patient good future dental team","116"
"far year good punctual want persist good punctuality weakness mine past","117"
"still feel can organize","118"
"work area still get really messy treatment do sometimes still forget supply need session","119"
"clinical treatment perform still feel comfortable endo crown treatment","120"
"believe order become professional field dentistry must go beyond know just craft dentistry","121"
"also mean present treat people work","122"
"instance punctuality respect two important aspect patient look dentist aside hisher technical ability","123"
"dentist unorganized difficult make appointment hard patient trust putting oral health","124"
"also even though dentist head hisher practice take cohesive supportive team individual treat dental patient properly","125"
"thus dentist present himherself dental team professional manner will never gain trust","126"
"one important thing really listen patient concern","127"
"do approach treatment session without open mind sometimes need adapt patient need","128"
"point entirely certain want practice dentistry","129"
"know feel ready graduate dental school will immediately look residency get level competency comfortable practice solo","130"
"want eventually dental practice time try expand","131"
"point think go career practice part time pediatric dentist also explore public health side profession","132"
"think large room grow especially find way target area access dental outreachesscreenings","133"
"hope become competent enough graduate friend peer instructor will fully trust perform dentistry need","134"
"hope less maintain passion field walk first class year hopefully expand passion graduate","135"
"want work hard always humble fact never satisfy level competence dentistry","136"
"long keep learn know will competent yesterday competent can tomorrow","137"
"area need work little stubborn open mind need organize clinic lab get go get messy habit","138"
"good want present professional manner patient representative school professional profession","139"
"feel right now 3 year still lack many clinical area","140"
"always consider ethical person","141"
"strive live life certain way treat other want treat","142"
"since time clinic notice fellow dental student like walk fine ethical line thing ethically comfortable","143"
"try worry student can work person kind dentist want","144"
"public personal statement","145"
"public self reflection become professional","146"
"spend approximately year dental clinic still do think dental professional","147"
"patient want give dr title really believe earn distinction yet","148"
"usually just tell call mikemichael","149"
"think will still way receive dr distinction","150"
"sure though","151"
"maybe due background bring just consider like everyone else exception actually doctor","152"
"around dental student feel like dental professional","153"
"parent brother girlfriend nondental friend always ask dental relate question feel like actually know talk make feel like dentist","154"
"far time clinic have tremendous learn experience good lot fun","155"
"finally get apply knowledge ive gain have have year good gain new knowledge tipstricks d various faculty","156"
"first start clinic nervous unsure able deal treat patient","157"
"now clinic approximately year feel comfortable competent ability","158"
"first majority treatment srps feel like know efficiently properly complete procedure","159"
"now find complete complex procedure become comfortable perform root canal postcores crown complete removable prosthesis","160"
"also find rely little little specialty faculty assess patient complex need consult necessary step confirm findingsresults","161"
"now clinic year feel like become dentist","162"
"great gain didactic knowledge know utilize perform procedure patient","163"
"first month clinic slow nervous unsure knowledge skill term treat patient","164"
"however exposure believe slowly become competent practitioner","165"
"find hand skill diagnose ability performance perform complex procedure significantly increase since start clinic","166"
"still certain aspect feel like need work take initial impression diagnostic stone model however feel like skill will develop practice attention detail may wrong certain procedure","167"
"excite continue growth development dental professional look forward final year graduation","168"
"today treat provide first hand care patient month","169"
"recently patient look eye say trust judgment ill think good","170"
"many appreciate hear however actually feel sense burden","171"
"burden make clinically sound decision decision patient expect will long term sustainable solution","172"
"end spectrum decision abide ethic principle value","173"
"patient confide medical health relate matter furthermore ask professional advice regard wellbeing","174"
"something take grant intend uphold great level confidentiality come patient care","175"
"healthcare professional will hold high standard eye public aspect patient care","176"
"day patient encounter learn good realm ethic professionalism","177"
"grow dentist influential definition dentistry","178"
"interaction comfort approach treatment define think dentistry still describe day","179"
"love talk school sport tv show ever ask open mouth","180"
"know set tooth name chart","181"
"look forward provide patient similar experience","182"
"look forward develop knowledge skill necessary promise patient good quality care","183"
"throughout next year envision mold competent healthcare provider","184"
"hope build professional relationship colleague faculty","185"
"time nyucd opportunity good prepare demand dentistry need patient","186"
"dentistry evolve field excite part will offer near come future","187"
"term professional throw around lot everyday conversation","188"
"may declare someone professional hockey player professional stone carver","189"
"word professional carry value sense high standard","190"
"expect professional expertise reassurance work role fulfill will high quality","191"
"hear word dental professional imagine someone look upon general public trust figure provide utmost quality care treatment","192"
"professional person receive structure education andor discipline pertain specifically profession","193"
"individual accept one prove hisher competence demand field","194"
"student nyucd like imagine approach definition professional progress tier dental school","195"
"excite important dynamic influence patient life serve vital component path healthy lifestyle","196"
"great privilege trust individual society look upon symbol wellbeing","197"
"term professional throw around lot everyday conversation","198"
"may declare someone professional hockey player professional stone carver","199"
"word professional carry value sense high standard","200"
"expect professional expertise reassurance work role fulfill will high quality","201"
"hear word dental professional imagine someone look upon general public trust figure provide utmost quality care treatment","202"
"professional person receive structure education andor discipline pertain specifically profession","203"
"individual accept one prove hisher competence demand field","204"
"student nyucd like imagine approach definition professional progress tier dental school","205"
"excite important dynamic influence patient life serve vital component path healthy lifestyle","206"
"great privilege trust individual society look upon symbol wellbeing","207"
"someone tell start formal dental education dental school change","208"
"change way communicate change way present change way view peer","209"
"look back summer dental school think back first patient interaction can undeniable admit indeed change","210"
"get good putting other shoe walk mile","211"
"become aware say say perceive patient around","212"
"develop professional relationship colleague faculty private practice mentor","213"
"plan remain malleable continue mold contribute change dental field process change","214"
"grow dentist influential definition dentistry","215"
"interaction comfort approach treatment define think dentistry still describe day","216"
"love talk school sport tv show ever ask open mouth","217"
"know set tooth name chart","218"
"look forward provide patient similar experience","219"
"look forward develop knowledge skill necessary provide patient good quality care","220"
"throughout next year envision mold competent healthcare provider","221"
"hope build professional relationship colleague faculty","222"
"time nyucd opportunity good prepare demand dentistry need patient","223"
"dentistry evolve field excite part will offer near come future","224"
"encounter many ethical situation think relate directly professionalism","225"
"act ethical mean always right just keep patient wellbeing center attention","226"
"tell act patientcentered focus must always examine every situation idea forefront","227"
"whether didactics clinical able frame everything ive learn context will affect patient help tremendously keep focus act professional ethical manner","228"
"year dental school pass ive learn mean become professional","229"
"since begin treat patient ive experience inherent trust must present dentist patient","230"
"look us guidance assurance can treat condition also answer question health wellbeing","231"
"believe dentist must act way honor profession respect patient","232"
"3 year almost do 4 year begin journey become dental professional almost come finish","233"
"clinic allow apply ive learn first 2 year various clinical experience","234"
"know still lot learn open mind heart know will able become good professional can","235"
"ethic define moral principle govern person ’ s group ’ s behavior","236"
"become dentist hold high standard ethic position power","237"
"people ’ s trust belief help take advantage situation","238"
"will dentist respect know excellent work do ethical criterion","239"
"believe four principle healthcare ethic autonomy beneficence nonmaleficence justice","240"
"strive always honest straightforward respect right patient","241"
"furthermore will communicate patient way enable empower make inform decision","242"
"will strive achieve high quality effectiveness dignity process product professional work","243"
"dentistry creative independent field","244"
"flexible profession allow pursue dental relate interest outside work group office","245"
"future goal dentistry include volunteer program help underserved community us povertystricken area throughout world dental care readily available","246"
"new york university college dentistry one good school facilitate goal many program serve underserved community","247"
"furthermore nyucd diverse patient population allow interact people different socioeconomic background","248"
"dentist wish gradually become cherish counselor confidant","249"
"realize personal contact integrate within dentistry permit unique interaction people diverse age culture background","250"
"become dentist give lot opportunity really want career","251"
"career will always able help people need service","252"
"due success preventive dentistry reduce oral incident can see lot elderly people keep tooth long realize importance regular dental care service","253"
"mean demand dental care will continue grow dentist need","254"
"career excite due fact every day get help people different background walk life","255"
"moreover career go opportunity one thing really love help other give back community","256"
"career will let teach good habit good health","257"
"will also let educate patient good general public achieve oral health prevent disease","258"
"become dentist give lot opportunity really want career","259"
"career will always able help people need service","260"
"due success preventive dentistry reduce oral incident can see lot elderly people keep tooth long realize importance regular dental care service","261"
"mean demand dental care will continue grow dentist need","262"
"career excite due fact every day get help people different background walk life","263"
"moreover career go opportunity one thing really love help other give back community","264"
"career will let teach good habit good health","265"
"will also let educate patient good general public achieve oral health prevent disease","266"
"shortterm goal graduate new york university college dentistry year residency hospital","267"
"long run intend work group practice spend time global outreach","268"
"professional development goal reside soul since come contact dentistry first time","269"
"dental student learn dentistry play crucial role healthcare field","270"
"learn every part body affect body whole","271"
"capability communicate cooperate team member surmount obstacle hardworking perseverance help provide patient good care can give","272"
"vow continually learn different innovative technique provide evidence base dentistry care patient","273"
"dentistry creative independent field","274"
"flexible profession allow pursue dental relate interest outside work group office","275"
"future goal dentistry include volunteer program help underserved community us povertystricken area throughout world dental care readily available","276"
"new york university college dentistry one good school facilitate goal many program serve underserved community","277"
"furthermore nyucd diverse patient population allow interact people different socioeconomic background","278"
"dentist wish gradually become cherish counselor confidant","279"
"realize personal contact integrate within dentistry permit unique interaction people diverse age culture background","280"
"hear many story patient horrible experience previous dentist","281"
"whether suddenly close clinic overpricing many patient good impression general idea see dentist","282"
"feel like problem practice state","283"
"dentist doctor mouth think deserve right degree respect","284"
"respect will never exist many dentist continue exploit alter treatment option benefit","285"
"honestly say whether will honest dentist country","286"
"sure will run similar temptation many dentist fall","287"
"just hope will make mistake give dentist bad reputation","288"
"couple week leave have student feel excite go final year nyucd","289"
"remember know write eportfolio back have","290"
"comment competency mostly fill sentence like sure will try good competent","291"
"now go one one feel get close real dentist laugh old comment","292"
"still cee mdr requirement fulfill do feel overwhelm","293"
"requirement will come soon late want focus provide comprehensive patient care encompass area dentistry","294"
"idea become professional change gradually last year","295"
"have have year see upperclassmen carry sort mystic aura around discuss reallife dentistry get extra tooth typodonts","296"
"time fly now almost end have year","297"
"become professional require attain appropriate knowledge skill also apply one know accordingly different situation","298"
"dentistry one area practitioner continue education life always new information technology will change treatment plan","299"
"become aware sensitive dentistry will lifelong education","300"
"idea become professional change gradually last year","301"
"have have year see upperclassmen carry sort mystic aura around discuss reallife dentistry get extra tooth typodonts","302"
"time fly now almost end have year","303"
"become professional require attain appropriate knowledge skill also apply one know accordingly different situation","304"
"dentistry one area practitioner continue education life always new information technology will change treatment plan","305"
"become aware sensitive dentistry will lifelong education","306"
"still quite behind cees mdrs try get catch cant","307"
"try see patient much possible yet treat one kind heart","308"
"accomplishment term requirement outstanding feel competent now","309"
"couple week leave have student feel excite go final year nyucd","310"
"remember know write eportfolio back have","311"
"comment competency mostly fill sentence like sure will try good competent","312"
"now go one one feel get close real dentist laugh old comment","313"
"still cee mdr requirement fulfill do feel overwhelm","314"
"requirement will come soon late want focus provide comprehensive patient care encompass area dentistry","315"
"become ethical one must first able know right wrong","316"
"know right wrong one must understand appropriate action follow determination","317"
"take knowledge experience courage become truly ethical aspire become great dentist deliver future patient","318"
"definitely learn lot ethical work dentist require","319"
"just many way cut corner dentistry ethic can become critical issue entire system health care delivery","320"
"look back write year ago find surprisingly also feel way dentist can mistreat patient begin sometimes hard judge right wrong deadline expectation","321"
"somehow feel like treat patient good way really let patient like will good accommodate whatever treatment youre","322"
"professionalism really stress school think definitely effect student body","323"
"time come move clinic sure will time mature progress term professionalism","324"
"now enter clinic think really important observe patient like professional dentist lecture constantly just want someone professional work","325"
"theres big difference think really affect patient mood good","326"
"now try complete requirement denture crown really like learn fabricate prosthesis","327"
"still remember personal statement dental school application write story little boy frighten go dentist","328"
"year late little boy grow man start learn knowledge require become competent dentist","329"
"wish four year school can step nyucd confident treat patient grow become respect compassionate dentist like parent admire aspire year pass learn much didactic course now finally real deal","330"
"really hope graduate nyu wouldnt anxious night treat patient haha half way have see patient month now","331"
"do many simple work now look forward actually start real denture crown endo","332"
"love learn start face real world now end have go become have","333"
"feel speed confidence increase","334"
"junior year college opportunity go medical brigade honduras work doctor dentist oral surgeon","335"
"brigade want orthopedist experience honduras know want dentist","336"
"premed major sculpture minor attain skill necessary succeed excel dental school","337"
"almost every day dental school thus far remind decision make become dentist rather orthopedist","338"
"grateful choice make couldnt imagine career","339"
"goal next year beyond become competent dentist also person extremely professional approachable","340"
"want master skill take complete dental school become dentist confident efficient","341"
"want use knowledge skill learn career either orthodontics endodontics","342"
"want work hard can hope become competent professional patient go count","343"
"want able extremely professional learn successful practice","344"
"believe can professional also think lot learn little detail make even competent professional","345"
"day pass think become professional try handle thing good way day","346"
"think become professional take time lot go","347"
"know professional way another take just learn craft profession","348"
"become professional need skill ethical value necessary healthcare provider","349"
"experience dental school hope gain knowledge will make good professional","350"
"compare have feel like gain lot knowledge","351"
"learn new thing dental field help become good professional","352"
"now complete 3 year aware necessity thing learn previous year","353"
"feel comfortable perform certain procedure hope learn various technique finding last year","354"
"dentist opinion someone will use knowledge skill good ethical principal moral code provide good care patient","355"
"goal next year beyond become competent dentist also person extremely professional approachable","356"
"want master skill take complete dental school become dentist confident efficient","357"
"complete 3 year dental school come appreciate knowledge gain hope able use improve oral health patient","358"
"patient care ethic essential component appropriate treatment","359"
"patient often unaware work mouth see","360"
"trust us right thing","361"
"ethical practice essential professionalism","362"
"continue learn clinical dentistry","363"
"establish relationship faculty friend continue learn daily","364"
"deepen passion dentistry seek knowledge need become good can","365"
"become teach assistant participate research discover interest prosthodontics hope continue develop love academia research perhaps pursue prosthodontics follow enlighten experience prosthodontics honor program","366"
"like continue develop selfawareness selfassessment skill learn deal effectively stress manage time appropriately","367"
"also like go outreach trip","368"
"feel big sense responsibility member healthcare profession","369"
"feel much expect family friend patient community large","370"
"must conduct integrity respect empathy","371"
"become professional simply become dentist","372"
"become compassionate empathetic practitioner","373"
"become carry present healthcare provider gain trust patient","374"
"realize professional code conduct expect peer public behave ethically responsibly integrity emotional intelligence","375"
"know develop dentist","376"
"able procedure discipline dentistry restorative endodontics extraction crown partial complete denture","377"
"develop dentist also healthcare professional knowledge recognize understand systemic illness","378"
"feel though empathetic practitioner put patient need concern first work hard gain trust","379"
"hope work practice management time management stress management skill","380"
"feel privilege train career always aspire","381"
"continue journey dental school know become skill competent clinician diagnostician health practitioner","382"
"able will continue participate research something hope continue career","383"
"also will continue participate dentistry extracurricularly","384"
"develop network colleague close friend mentor edify learn lot","385"
"next year know will continue grow develop personally professionally","386"
"patient care always practitioner numb one priority","387"
"financial gain never drive force practitioner service","388"
"competent one field also mean know seek help practitioner","389"
"journey nyu come realize ethic alway black white","390"
"important understand gray area always due seem right stop one self commit something hesitant","391"
"hope experience nyu college dentistry mold competent dental professional can provide utmost care patient","392"
"hope remain empathetic patient build strong interpersonnal skill can allow patient trust work","393"
"experience hope improve hand skill provide excellent quality care","394"
"hope become competent practitioner can incorporate knowledge learn didactics provide quality care","395"
"importance quality care vs quantity","396"
"become professional just dd title","397"
"go beyond workplace public reflection individual society","398"
"recognize individual hold high standard action reflect upon dental profession entity","399"
"reason respect one self respect profession","400"
"like dentist bring honor tile dentist","401"
"professional individual practice profession workplace profession way life","402"
"follow set role ethic will oblige betterment community","403"
"dental professional specific person represent field dentistry every action heshe make","404"
"term professional go beyonds one dental career rather include one entire life way live","405"
"important recognize one represent dental profession time","406"
"continue education feel learn every course every obstacle whether big small","407"
"interaction patient teach word statement ask question order extract important information patient importantly important communicate patient","408"
"patient bring something new table class help provide insight truly mean professional","409"
"hope acquire knowledge become dental practitioner also gain skill set will allow become competent professional","410"
"furthermore like grow ethical individual able provide care community use acquire knowledge dental field","411"
"hope continue education post dental school stay current approach may provide patient date treatment","412"
"like become practitioner provide quality care","413"
"importance ethic health profession elude take course ethic enter clinic treat patient first time","414"
"many situation witness part challenge integrity professional make sure uphold standard expect dentist","415"
"often think easy always right thing come healthcare everything black white","416"
"glad give proper train make right decision questionable situation","417"
"especially pressure complete graduation requirement many situation arise put morality ethic test","418"
"important forget reason clinic provide good care patient","419"
"truly believe work ethic determination will allow become successful dentist","420"
"despite stress treat patient meet deadline prepare graduation year need keep remind ultimate goal","421"
"recently become interest involve field oral surgery hope pursue specialty","422"
"clinic experience patient first time realize importance professionalism","423"
"gain trust respect patient invaluable trait will helpful make remainder treatment go smoothly","424"
"watch professional mannerism faculty around speak patient learn progress role healthcare practitioner hope continue become good","425"
"also believe part professional work integrity someone patient faculty peer can trust provide good care","426"
"become professional go hand hand dentist","427"
"see professionalism dentist give patient confidence put health care hand allow strong patientdoctor relationship form","428"
"experience treat patient now realize importance maintain professional relationship patient also network faculty peer can turn guidance assistance","429"
"believe make immense progress professional since enter dental school","430"
"come straight year undergraduate college consider young compare rest class little professional experience","431"
"never job dental school learn lot take part team healthcare professional present patient colleague trust care give","432"
"know lot room grow will develop even complete rest dental school","433"
"person smile arguably important feature","434"
"way express happiness show kindness ability improve one even someone elses mood","435"
"believe dentist give someone confidence great smile highly reward satisfy job","436"
"past year feel progress immensely towards reach goal become competent dentist","437"
"learn much numerous course complete experience clinic big learn experience","438"
"patient treat mistake make opportunity improve","439"
"one thing learn dental school get put want put good effort","440"
"hope become dentist influence large confine office highly involve local regional outreach program","441"
"complete year dental school new goal remain time become confident treatment provide patient","442"
"like able create complete treatment plan complete confidence good available option patient","443"
"ethic play large role dentistry everyday life","444"
"come patient care ethical situation come time","445"
"example patient like get particular procedure do know fail numb reason good stick professional judgement procedure rather try please patient","446"
"notice patient really try pressure something may want pressure make procedure go fast important us take time follow step avoid make possible mistake","447"
"end day follow believe ethical able sleep good night","448"
"unsure can converse faculty possibly already go go get proper guidance","449"
"still try figure exactly like become dentist","450"
"think pediatric dentistry since spend much time work kid think solely work kid may difficult especially parent try protective see child possibly pain","451"
"also think oral surgery im sure want school addition six year dental school","452"
"now currently think go periodontics cant see satisfy general dentist","453"
"also think go academia teach dental school graduate however now think like practice","454"
"recently get accept honor program hope figure exactly want spend time periodontics department","455"
"think order professional one must respect people come contact","456"
"work place knowledgeable job treat everyone respect","457"
"professional one responsible sense urgency come deadline","458"
"always set goal either achieve surpass","459"
"believe can take work become professional everyone can reach goal","460"
"regard professional will something will work become dentist","461"
"treat people respect take responsibility action","462"
"next year will become knowledgeable profession will help become professional","463"
"learn faculty general dentist specialist provide insight good deal certain situation appropriate effective manner","464"
"think order professional one must respect people come contact","465"
"work place knowledgeable job treat everyone respect","466"
"professional one responsible sense urgency come deadline","467"
"always set goal either achieve surpass","468"
"believe can take work become professional everyone can reach goal","469"
"regard professional will something will work become dentist","470"
"treat people respect take responsibility action","471"
"next year will become knowledgeable profession will help become professional","472"
"work within multidisciplinary health team will also aid become professional","473"
"learn different health field will help become good round person","474"
"although come long way since have still way go get need","475"
"make progress come class ii restoration need lot practice guidance procedure root canal therapy good fix removable prosthodontics","476"
"havent many patient experience yet feel though start get little good communicate need get do","477"
"still trouble patient try pressure get upset hear get tooth extract slowly try progress patient care aspecti make progress become efficient time management will still need continue practice become efficient","478"
"originally decide want become dentist think want either become pediatric dentist oral surgeon","479"
"go master degree biomolecular science begin think academic side dentistry profession","480"
"enjoy research learn certain signal pathway can affect tooth development investigate role hedgehog signal regulate proliferation development tooth zebrafish","481"
"mostly lean towards practice dentistry profession want keep option open regard career academia","482"
"recently ive interest periodontics","483"
"get honor program hope figure exactly want future learn specialty","484"
"many patient present clinic terrible past experience dentist","485"
"feel cheat like didnt matter mouth source income","486"
"bother mentality dental professional","487"
"current future practice hope provide patient comprehensive care establish treatment plan patient","488"
"think important stand ethically morally right just drill fill send patient home","489"
"im huge believer preventative care want make sure embody practice","490"
"currently im try establish fundamental set rule will personally follow throughout dental school rest career encompass ethic professionalism good dental care patient","491"
"next four year want focus become excellent health care provider","492"
"plan practice skill preclinic clinic also learn establish trust relationship patient","493"
"want work hard great dentist one exemplify passion true dedication career","494"
"ultimately goal specialize pediatric dentistry focus child special need","495"
"realize passion work pediatric dentist see many child autism syndrome severe adhd amongst special need case","496"
"know feel reward help kid many access dental care","497"
"incredibly passionate want career result plan stay active pedo special need organization get involve pediatric outreach nyucd","498"
"work health care professional come many expectation especially patient","499"
"expect diagnose particular issue treat good","500"
"need understand oral health explain inform","501"
"trust decision treatment option want proper referral need","502"
"future dentist realize high bar raise much conscious effort need make ensure meet patient ’ s expectation","503"
"want understand appreciate case different can cater know specific need future patient","504"
"ive notice faculty opinion handle particular case good work one person research establish one game plan can relay patient full confidence","505"
"able justify one procedure another important patient know knowledgable can trust","506"
"work health care professional come many expectation especially patient","507"
"expect diagnose particular issue treat good","508"
"need understand oral health explain inform","509"
"trust decision treatment option want proper referral need","510"
"future dentist realize high bar raise much conscious effort need make ensure meet patient ’ s expectation","511"
"want understand appreciate case different can cater know specific need future patient","512"
"clinic last month already see change treat speak patient","513"
"differnt demeanor talk patient assistant way nyucd handle patient care teach us establish trustworthy relationship patient can say chairside manner definitely change","514"
"have take handful ethic diversity behavior course literally hate","515"
"think huge waste time","516"
"get clinic realize helpful necessary course teach us much professional establish solid doctorpatient relationship","517"
"ive great experience far clinic able communicate patient lot due class deem useless","518"
"find think back learn can implement patient care","519"
"professionalism skill improve much hope continue improve","520"
"next four year want focus become excellent health care provider","521"
"plan practice skill preclinic clinic also learn establish trust relationship patient","522"
"want work hard great dentist one exemplify passion true dedication career","523"
"ultimately goal specialize pediatric dentistry focus child special need","524"
"realize passion work pediatric dentist see many child autism syndrome severe adhd amongst special need case","525"
