X1,NETID,RefType,Date,Time,Text,DYear
11,Q3KOrarY,Professional Progress,17-04-17 3:05,3.083333333,"In my final years in dental school, and as I enter into residency and into the work force, I have grown so much--not only in terms of my physical abilities to treat a patient, but also in terms of my competence in managing patients, my confidence in my own work, and my ability to confidently communicate with patients as their health provider. I have learned how to brainstorm ideas with my colleagues and my faculty over complicated treatment plans, and have learned to work with dental hygienists and dental assistants so that we can more efficiently provide the best care for our patients. I have encountered many struggles, learning from my own mistakes or encountering situations with unforeseeable circumstances. However, it is through these struggles that I have gained that much more confidence in my competence and skills to treat others. I am excited to continue my career path in residency and hope to learn much more from the patients and procedures I will encounter in residency and from working in a more autonomous environment.",D4L
12,Q3KOrarY,Public Personal,17-04-17 3:05,3.083333333,"As a graduating fourth year dental student, I will be entering into the professional field and will apply all that I've learned in my dental school education to my practice and to the treatment of my future patients. I will undoubtedly be providing restorative, prosthodontic, endodontic and periodontic treatment to all of my patients. But I will make sure that I am practicing patient-centered care. I will consult with the health care providers involved in treating my patient when necessary and will look to the literature and my own clinical experience for the best and most up to date ways to treat my patient. I will continue to treat all my patients with respect and empathy. I will treat them ethically, taking into account their various cultural identities and being sensitive and understanding of their backgrounds and their experiences. I will always put my patient's health and desires above any personal gain. I will be honest with my patients and provide them with all the information I gather so that they can make an informed decision.",D4L
13,QRWhtutU,Ethic Reflection,26-03-17 11:12,11.2,"I believe practitioners' attitudes fundamentally influence patients' view of health and decision making processes. My integrity, personal standards, goals, and aspirations are important factors in earning respect from peers, colleagues, patients, and the general public.The public expects health professions to behave and make decisions with the utmost ethical standards. It is important to realize that ethical dilemmas can be solved with the five principles of ethics that are valued in the profession. The five principles of ethics include autonomy, nonmaleficence, beneficence, justice, and veracity. One must realize that these principles can compete, complement and balance each other. These principles are needed for the highest standard of care and averting disciplinary actions. I believe I have a good grasp of these principles and ready to adhere to the ethical principles.",D4L
14,QRWhtutU,Private Personal,26-03-17 10:59,10.98333333,"My fascination with dentistry began at the age of nine when my mom noticed that I was experiencing a slight overbite and crowding. It took four years of treatment and two different orthodontists to achieve the desired result. Ever since this endeavor, I have been interested in the mechanics and biology of dentistry. As a dental student, I have tried my best to experience various facets of dentistry. For the last 4 years, I feel that I have accrued as much knowledge and skills to be a proficient and efficient dentist. As a result, I have become confident in foundational skills that are required in becoming a competent general dentist. As a health care professional, I would like to not only become proficient in technical skills but also effective in interpersonal skills. I realize these skills would require me to undertake a lifelong learning activity to improve knowledge, competencies, and skills. I look forward to this new chapter in my life with great eagerness and excitement.",D4L
15,QRWhtutU,Private Self Reflection,26-03-17 11:08,11.13333333,"I believe one of the most important qualities for a dental profession is to be independent and proficient in their job. In other words, dental professionals should be consistent and punctual. It also means the profession should not only proficient in practical prowess but also dedicated to upholding the highest moral and ethical standards. In addition, it is important to follow the rules and regulation to prevent nefarious as well as unintentional harm to a patient. However, this does not mean that one should be afraid to challenge the rules and question the precept. Rather, I believe it is important for professional to actively seek out for improvements. This can be achieved through working, discussing and researching issues in collaboration with not only the professionals within in its own field but also the other professions. I believe these are some of the factors that are crucial in becoming a professional.",D4L
16,QRWhtutU,Public Self Reflection,26-03-17 11:08,11.13333333,"I believe one of the most important qualities for a dental profession is to be independent and proficient in their job. In other words, dental professionals should be consistent and punctual. It also means the profession should not only proficient in practical prowess but also dedicated to upholding the highest moral and ethical standards. In addition, it is important to follow the rules and regulation to prevent nefarious as well as unintentional harm to a patient. However, this does not mean that one should be afraid to challenge the rules and question the precept. Rather, I believe it is important for professional to actively seek out for improvements. This can be achieved through working, discussing and researching issues in collaboration with not only the professionals within in its own field but also the other professions. I believe these are some of the factors that are crucial in becoming a professional.",D4L
17,QRWhtutU,Professional Progress,26-03-17 11:21,11.35,"As a clinician, I strive to be a leader in the field by applying the knowledge that I learned from school, mentorship, and research. To ensure that I could go on to be a competent clinician, I have maintained an excellent academic record, being consistently ranked in the top ten percent of my class. In order to further explore my interest in a various aspect of dentistry, I have assisted and shadowed residents as well as treated patients who needed complex treatments ranging from periodontal surgery to Invisalign treatment. I believe professionals demonstrate competency and proficiency in their vocation with high ethical standards as well as personal qualities such as compassion, respect, and empathy. Overall, I believe I am ready to face any challenges when I graduate.",D4L
18,QRWhtutU,Public Personal,26-03-17 10:59,10.98333333,"My fascination with dentistry began at the age of nine when my mom noticed that I was experiencing a slight overbite and crowding. It took four years of treatment and two different orthodontists to achieve the desired result. Ever since this endeavor, I have been interested in the mechanics and biology of dentistry. As a dental student, I have tried my best to experience various facets of dentistry. For the last 4 years, I feel that I have accrued as much knowledge and skills to be a proficient and efficient dentist. As a result, I have become confident in foundational skills that are required in becoming a competent general dentist. As a health care professional, I would like to not only become proficient in technical skills but also effective in interpersonal skills. I realize these skills would require me to undertake a lifelong learning activity to improve knowledge, competencies, and skills. I look forward to this new chapter in my life with great eagerness and excitement.",D4L
19,QRWhtutX,Ethic Reflection,04-04-17 15:18,15.3,"I believe that as a healthcare professional, we have a duty to provide our patients with the most effective treatment and when we know we are not the right person for our patient to not hesitate and relay our patient to the right person. 
While in dental school I want to always put forth an honest effort in my work and not take any shortcuts because I want to make sure I really understand what is being taught. I want to contribute to an honest learning environment and reach out to any peers that I may see struggling.

I feel like everyone is trying to meet the requirements and graduate and sometimes we may be tempted away from ethics but that is definitely a slippery slope that we should not go down. At the end of the day our education and progress towards graduation is secondary to patient care. We are a dental care providing institution first and education second.",D4L
20,QRWhtutX,Private Personal,27-02-17 20:01,20.01666667,"I hope to work not just hard but smart and produce the results necessary to have multiple options ready when I graduate. Currently I am really interested in the field of pediatrics so I want to put myself in the position to learn as much as I can about the field.

While my passion in pediatrics grows from partaking in in-reach and out-reach events at NYUCD, I want to also explore other specialties so I can become a wholesome in my dental knowledge and ideals.

I am really thankful that Citizen Schools has been fully integrated as one of the main outreach clubs at NYUCD. We also had our first dental screenings at GTP and many more scheduled to come. Also I am on track to pursue my passion in pediatrics.

Now that I am fully committed to becoming a pediatric dentist I hope to keep exploring the various areas of public health dentistry that I am hoping to have as integral part of my career. With the next step set for San Deigo as I start my pediatric residency I need to continue maintain my level of excellence.",D4L
21,QRWhtutX,Private Self Reflection,27-02-17 20:02,20.03333333,"Aside from the points mentioned in the public self reflection portion, I want to become more open minded and be better at taking criticism as that will be important when dealing with patients as well as my future dental team. So far into the year I have been good about being punctual but I want to persist in having good punctuality as it was a weakness of mine in the past.

I still feel I can be more organized. My work area still gets really messy after the treatment is done and sometimes I still forget all the supplies I need for that session. Out of all the clinical treatments we perform I still feel not as comfortable with endo and crown treatments. 

I think for a while I was losing sight of the patients I was seeing because I was being overwhelmed by my schedule but I am starting to learn to take a step back and really work on building that connection with all my patients new and old. As everything is winding down and I am coming to terms with graduation, it is more enjoyable in clinic.",D4L
22,QRWhtutX,Public Self Reflection,27-02-17 20:02,20.03333333,"I believe in order to become a professional in the field of dentistry, you must go beyond knowing just the craft of dentistry. It also means how you present yourself and how you treat the people you are working with. For instance punctuality and respect are two important aspects that patients look for in a dentist aside from his/her technical abilities. A dentist that is unorganized or difficult to make appointments with is hard for the patient to trust in putting their oral health in. Also even though the dentist is the head of his/her practice, it takes a cohesive and supportive team of individuals to treat the dental patient properly. Thus, a dentist that does not present him/herself to the dental team in a professional manner will never gain their trust.

Not much has changed I still believe in what I wrote previously. 

One of the most important thing is to really listen to the patient's concerns. Don't approach a treatment session without an open mind, sometimes you need to adapt to the patient's needs. As I learned today, it is just important to know when not to start.",D4L
23,QRWhtutX,Professional Progress,27-02-17 20:04,20.06666667,"At this point I am not entirely certain where I want to practice dentistry. I do know that if I feel that I am not ready once I graduate from dental school I will immediately look to do some residency to get myself to the level of competency I am comfortable to practice solo. I do want to eventually have my own dental practice and after some time try to expand.

At this point I am thinking of going into a career where I am practicing part time as a pediatric dentist but also explore the public health side of our profession. I think there is large room to grow especially for finding ways to target areas that are not having access to dental outreaches/screenings.

I hope to go into a pediatric dental residency prepare me to come out practice in community dental center or clinics that serve the disadvantaged. Later one I hope to use my experience to help the local community by implementing public health initiatives. With the next step set for San Diego I hope to integrate myself with the residency and local community.",D4L
24,QRWhtutX,Public Personal,27-02-17 19:59,19.98333333,"I hope to become competent enough that when I graduate my friends, peers, and instructors will fully trust me to perform dentistry on them if need be. I hope to maintain the passion I had for this field when I walked to my first class this year and hopefully expand that passion when I graduate. I want to work  hard and to always be humble of the fact that I should never be satisfied with my level of competence in dentistry. As long as I keep learning I know I will be more competent than yesterday but not as competent as I can be tomorrow. 

As I am coming towards the end of my time here at NYUCD, a lot of my goals and aspirations are being met or still within reach. I  hope to pass on the things I learned from my faculties, peers, and wonderful patients to the third years so they can be awesome fourth years when it's their time. It is important to take a step back, appreciate and be thankful of the position my wonderful support network put me in.",D4L
25,Rgwz95M=,Ethic Reflection,07-03-17 8:59,8.983333333,"I have always considered myself a very ethical person.  I strive to live my life a certain way, and to treat others as I would want to be treated.  In my time in dental school that mindset has not changed.  Yes it would be easier if a restoration would turn into a root canal so that I can get more endodontic experience, but I still cringe at the thought of possibly getting an exposure and then the patient would require either a root canal or an extraction.  One important lesson that I have learned in clinic is that ""I didn't create the cavity, but rather the patient did and I am only hear to try to remove the disease and save the tooth"".  When I first started in clinic I felt bad if I had to tell the patient that I couldn't restore the tooth and it needed to come out.  While I still have empathy for the patients and their situation(s), I have taken to heart that lesson and realized that I can only do so much to help these people.",D4L
26,Rgwz95M=,Public Self Reflection,14-05-17 16:48,16.8,"On the verge of graduation my mindset of thinking of myself as a ""dental professional"" has not yet sunk in, as I also still don't think of myself as one.  While I am excited to be honored with the ""Dr"" title, I don't think I feel any different than I did 4 years ago when I started dental school.  Yes, I have learned a lot and grew a lot as a person, but I always remember my parents' lessons about staying humble and grateful for everything you have.  I still find it weird when patients refer to me as ""Dr"", and I am quick to tell them to call me ""Mike/Michael"" instead.  I have also noticed how I am always wanting to get patients with interesting or more complex cases.  Lately, I find that I am disinterested in doing simple restorations and cleanings.  I want to do more challenging procedures that will expand on my development and interest level.  I hope that my GPR residency will allow me to pursue these interests and branch out to experience as much complex and interesting cases as possible.",D4L
27,Rgwz95M=,Professional Progress,07-03-17 9:17,9.283333333,"I feel like I have learned so much in my 4 years in dental school, most significantly in my past 2 years while in clinic.  I feel very comfortable diagnosing and treating patients in almost all aspects of dentistry.  I feel confident in my removable and fixed prosthodontic skills, as well as restorative and albeit limited periodontal abilities.  While I feel confident in my endodontic skills, I would like much more exposure in this specialty area, which I hope to gain in my GPR.  I also feel at times in clinic that I have peaked in terms of things I can learn and put into practice as certain techniques or procedures are not ""core curriculum"".  The faculty we have in clinic are great, and they do try to teach you new things, but unfortunately most of the time we cannot attempt them.  I hope to continue my education and learn new tips/tricks during my GPR.",D4L
28,Rgwz95M=,Public Personal,14-05-17 16:47,16.78333333,"This past 4 years has finally come to an end.  It is crazy to think that I started this whole process 4 years ago with very limited dental knowledge.  I knew I always wanted to be a dentist, but I didn't really contemplate how much work dental school would be.  I remember Dr. Spielman's first talk with our class and how he stated that ""dental school is a marathon, not a sprint"".  At the time in D1 I didn't give it much thought, but now having gone through 4 years I fully understand and appreciate what he was talking about.  At times in D1 and D2 it seemed like the numerous exams, lab requirements and studying would never end; but somehow I prevailed.  Once I got into clinic I felt a huge weight lifted off of my shoulders as I didn't have to really worry too much about studying or taking exams, but instead got to put to practice all those long hours spent in the bench and simulation labs.  I am very excited about the next phase of my life and development as a dental professional.",D4L
29,RJvUP4aC,Ethic Reflection,18-03-17 21:56,21.93333333,"As of today, I have been treating and providing first hand care to patients for almost two years.  I recently had a patient look me in the eyes and say, ""I trust you, I'll do what you think is best."" Many would appreciate hearing this; however, I actually felt a sense of burden. The burden of making a clinically sound decision, a decision that the patient expects will be a long term, sustainable solution. On the other end of the spectrum, it's a decision that abides by the ethics principles and values. I have had patients confide in me with medical and health related matters and furthermore ask for professional advice in regard to their wellbeing. This is something I do not take for granted and I intend to uphold the greatest level of confidentiality when it comes to patient care. As a healthcare professional, I will be held to a higher standard in the eyes of the public in all aspects of patient care. Each day and with each patient encounter, I am learning to better myself in the realm of ethics and professionalism.",D4L
30,RJvUP4aC,Private Personal,10-04-17 0:25,0.416666667,"As my formal dental education comes to an end, I know I am approaching the beginning of a lifetime of learning as a licensed dentist. I am looking forward to polishing knowledge and skills I acquired in dental school as I take the leap towards autonomy. I look forward to providing my patients with the ultimate patient experience and the best quality of care.  
As I officially join the dental profession, I am confident that my experiences at a NYU Dentistry have prepared me well to become the competent and well-rounded clinician I have always envisioned.",D4L
31,RJvUP4aC,Private Self Reflection,18-03-17 21:56,21.93333333,"The term ""professional"" is thrown around a lot in everyday conversation. We may declare someone as a 'professional hockey player' or a 'professional stone carver.' The word professional carries value and a sense of higher standard. When I hear the word ""dental professional,"" I imagine someone that is looked upon by the general public as a trusted figure to provide the utmost quality of care and treatment. 
A short two months from graduation, the words education, ethics, and professionalism have
become more salient as I treat my patients. Building a trusting, professional relationship with my patients has
personally been the most satisfying aspect of practicing dentistry. Elevating the patient interaction to the
next level by providing treatment and managing the patient's oral health has offered the utmost
gratification. It is indeed a great privilege to be a trusted individual in society and looked upon as a symbol of oveall well-being.",D4L
32,RJvUP4aC,Public Self Reflection,10-04-17 0:27,0.45,"The term ""professional"" is thrown around a lot in everyday conversation. We may declare someone as a 'professional hockey player' or a 'professional stone carver.' The word professional carries value and a sense of higher standard. When I hear the word ""dental professional,"" I imagine someone that is looked upon by the general public as a trusted figure to provide the utmost quality of care and treatment. 
A short two months from graduation, the words education, ethics, and professionalism have
become more salient as I treat my patients. Building a trusting, professional relationship with my patients has
personally been the most satisfying aspect of practicing dentistry. Elevating the patient interaction to the
next level by providing treatment and managing the patient's oral health has offered the utmost
gratification. It is indeed a great privilege to be a trusted individual in society and looked upon as a symbol of oveall well-being.",D4L
33,RJvUP4aC,Professional Progress,10-04-17 0:25,0.416666667,"Someone told me before I started dental school that dental school would change me. It would change the way I communicate, it would change the way I present myself, and it would change the way I am viewed by my peers. Thinking back to who I was in my first semester of dental school and the person I am now, I can undeniable admit that I have indeed been changed. I have gotten better at ""putting myself in other's shoes"" and ""walking a mile in them.""  I have become more aware of what I am saying, how I am saying it, and how it is being perceived by my patients and those around me. I have developed professional relationships with colleagues, faculty, and mentors. I look forward to graduation now more than ever as I feel that I have matured as a healthcare professional and am ready to fulfill this role in the 'real world.' I plan to remain malleable and continue molding myself with each new experience as a practicing dentist.",D4L
34,RJvUP4aC,Public Personal,10-04-17 0:25,0.416666667,"As my formal dental education comes to an end, I know I am approaching the beginning of a lifetime of learning as a licensed dentist. I am looking forward to polishing knowledge and skills I acquired in dental school as I take the leap towards autonomy. I look forward to providing my patients with the ultimate patient experience and the best quality of care.  
As I officially join the dental profession, I am confident that my experiences at a NYU Dentistry have prepared me well to become the competent and well-rounded clinician I have always envisioned.",D4L
35,UMXIJMd9,Ethic Reflection,02-04-17 13:43,13.71666667,"As a dental student, we are encountered with many ethical situations. Over the course of clinic, these situations that I have witnessed have ranged from students working with specific faculty who will ""do the work"" for them, speaking (whether seriously or not) about intentionally pulping out on a tooth, to adjusting casts after it has been poured up instead of calling the patient back in. While all these situations range in ethical severity, one cannot help but think that small ethical transgressions can, and most probably, will lead to greater ethical transgressions. In my opinion, the culture of the class and school, where at times the perception is production matters over education, only serves to reinforce these ethical slights. During school I have learned a great deal regarding dentistry, however, I will take with me the ethical disposition that has been developed. By viewing and hearing of these ethical situations I know in my heart what I deem as good and bad. If anything, this is one of the most important things that I have ""learned"" in dental school.",D4L
36,UMXIJMd9,Private Personal,02-04-17 13:34,13.56666667,"My initial desire to pursue OMFS began in graduate school. During my stem cell courses, I became fascinated with hematological diseases manifesting to the head and neck. The complex mechanisms with which these diseases affected the human body stimulated my intellectual curiosity. When I entered dental school, I began to attend morning rounds and shadow dentoalveolar surgeries to further expose myself to this specialty. I successfully applied to be class representative for our OMFS Society and with each passing year, I took on a greater responsibility from promoting journal clubs to preparing lecture presentations. Now, as President, I am in charge of leading the largest student organization at the dental school. I have refined my leadership skills by taking on such responsibility and look forward to continue my professional development as a surgical resident to become a leader in medicine.",D4L
37,UMXIJMd9,Private Self Reflection,02-04-17 13:34,13.56666667,"I envision myself in the academic setting treating the most critically ill and complex patients. During my undergraduate, masters and dental schooling I have gravitated towards translational research. While in dental school, my project in 3D printing and manufacturing exposed me to what the future of facial reconstruction will bring. I think its truly fascinating how scientific discoveries learned in the lab can translate towards improved patient care. I also have a strong interest in teaching.  As a tutor, I have needed to find ways to come up with creative ways to deliver difficult concepts. Conscious that diseases, accidents, and other traumatic events encountered will deeply affect my patients., I aspire to be involved in improving protocols in the clinic or hospitals and broader healthcare policies that will dictate the direction our specialty takes in the years to come.",D4L
38,UMXIJMd9,Public Self Reflection,02-04-17 13:34,13.56666667,"I envision myself in the academic setting treating the most critically ill and complex patients. During my undergraduate, masters and dental schooling I have gravitated towards translational research. While in dental school, my project in 3D printing and manufacturing exposed me to what the future of facial reconstruction will bring. I think its truly fascinating how scientific discoveries learned in the lab can translate towards improved patient care. I also have a strong interest in teaching.  As a tutor, I have needed to find ways to come up with creative ways to deliver difficult concepts. Conscious that diseases, accidents, and other traumatic events encountered will deeply affect my patients., I aspire to be involved in improving protocols in the clinic or hospitals and broader healthcare policies that will dictate the direction our specialty takes in the years to come.",D4L
39,UMXIJMd9,Professional Progress,02-04-17 13:43,13.71666667,"Over the last four years, I went to various externship programs that gave me insight into different aspects of OMFS. Each program had unique strengths and differences and I am amazed at how different each program is. My experiences exposed me to three aspects of surgery that has solidified my decision that OMFS is the right choice for me: the surgical problems, surgical patients, and surgeon characteristics. The problems and patients are difficult, complex, and unique. Each procedure I participated in, from performing extractions in the clinic to observing surgical cases in the OR, provided me with an immense sense of exhilaration and satisfaction. As I reflect over the last ten years of my life, I see that the many decisions I have made led me towards a career in OMFS. I would like to be a part of a program that will strengthen professional development, broaden my medical knowledge, and grant me the autonomy to think independently as a clinician and surgeon.",D4L
40,UMXIJMd9,Public Personal,02-04-17 13:34,13.56666667,"My initial desire to pursue OMFS began in graduate school. During my stem cell courses, I became fascinated with hematological diseases manifesting to the head and neck. The complex mechanisms with which these diseases affected the human body stimulated my intellectual curiosity. When I entered dental school, I began to attend morning rounds and shadow dentoalveolar surgeries to further expose myself to this specialty. I successfully applied to be class representative for our OMFS Society and with each passing year, I took on a greater responsibility from promoting journal clubs to preparing lecture presentations. Now, as President, I am in charge of leading the largest student organization at the dental school. I have refined my leadership skills by taking on such responsibility and look forward to continue my professional development as a surgical resident to become a leader in medicine.",D4L
41,USg0zn4j,Ethic Reflection,11-04-17 12:02,12.03333333,"Ethics is defined as moral principles that govern a person's or group's behavior. Becoming a dentist, you are held to a higher standard of ethics because you are in a position of power. You have people's trust and belief that you are there to help them and not take advantage of their situation. I will be a dentist that is respected and known for excellent work done under ethical criteria. I believe in the four principles of healthcare ethics: autonomy, beneficence, non-maleficence and justice. I strive to always be honest, straightforward and respect the rights of my patients. Furthermore, I will communicate with patients in a way that enables and empowers them to make informed decisions.  I will strive to achieve the highest quality, effectiveness and dignity in both the process and products of professional work.",D4L
42,USg0zn4j,Private Personal,11-04-17 12:02,12.03333333,"Dentistry is a creative and independent field. It is a very flexible profession that allows me to pursue other dental related interests outside of working in a group or office. Some of my future goals in dentistry include volunteering for programs that help underserved communities in the U.S and poverty-stricken areas throughout the world where dental care is not readily available. New York University College of Dentistry is in one of the best schools to facilitate my goals because it has many programs that serve the underserved communities. Furthermore, NYUCD has a diverse patient population, which allows me to interact with people of all different socioeconomic backgrounds. As a dentist, I wish gradually become a cherished counselor and confidant. I realized the personal contact integrated within dentistry permits a unique interaction with people of diverse ages, cultures, and backgrounds.",D4L
43,USg0zn4j,Private Self Reflection,11-04-17 12:02,12.03333333,"Become a dentists gives me a lot of opportunities that I really want to have in a career. In this career, I will always be able to help people in need of my services. Due to the success of preventive dentistry on reducing the oral incidents, I can see that a lot of elderly people are keeping their teeth longer and realizing the importance of regular dental care services. So that means that the demand for dental care will continue to grow and more dentists would be need. This career is exciting for me, due to the fact I every day I get to help people from different backgrounds and all walks of life. Moreover, in this career I am going to have the opportunity to do one of the things that I really love doing, which is helping others and giving back to my community. This career will not only let me teach good habits for good health. But will also let me educate patients, as well as the general public, on how to achieve oral health and to prevent diseases.",D4L
